үрүт^N,POST
гын,AUX
диэ^V,AUX
буол^V,AUX
бар^V,AUX
ыл^V,AUX
эт^V,AUX
түс^V,AUX
биэр^V,AUX
тут^V,AUX
таҕыс^V,AUX
кэбис^V,AUX
эр^aux^CONV_COND+POSS.1SG+PRTV,POST

илин^N
кэлин^N
алын^N
үрүт^N
ис^N
тас^N
атта^N
бас^N
ойоҕос^N


үрдэ,үрүт^N+POSS.3
үөһээтэ,үөһээ^N+POSS.3
кырса,кырыс^N+POSS.3
оройо,орой^N+POSS.3
баһа,бас^N+POSS.3
төбөтө,төбө^N+POSS.3
иэнэ,иэн^N+POSS.3
уорҕата,уорҕа^N+POSS.3

анна,алын^N+POSS.3
аллараата,аллараа^N+POSS.3
төрдө,төрүт^N+POSS.3
түгэҕэ,түгэх^N+POSS.3

иннэ,илин^N+POSS.3
туһа,тус^N+POSS.3
утары

кэннэ,кэлин^N+POSS.3
кэтэҕэ,кэтэх^N+POSS.3
уҥуора,уҥуор^N+POSS.3
анараата,анараа^N+POSS.3
антаҕа,антах^N+POSS.3
улаҕата,улаҕа^N+POSS.3
арҕаата,арҕаа^N+POSS.3

ойоҕоһо,ойоҕос^N+POSS.3
өттө,өрүт^N+POSS.3
кытыыта,кытыы^N+POSS.3
саҕата,саҕа^N+POSS.3
чанчыга,чанчык^N+POSS.3
эҥэрэ,эҥэр^N+POSS.3

атта
таһа,тас^N+POSS.3
ыксата,ыкса^N+POSS.3
бэтэрээтэ,бэтэрээ^N+POSS.3
тулата,тула^N+POSS.3
чугаһа,чугас^Adj+POSS.3
бэттэҕэ,бэттэх^N+POSS.3
айаҕа,айах^N+POSS.3
аана,аан^N+POSS.3

баһа,бас^N+POSS.3
атаҕа,атах^N+POSS.3

иһэ,ис^N+POSS.3
ортото,орто^N+POSS.3
быыһа,быыс^N+POSS.3
арда,арыт^N+POSS.3
үөһэ,үөс^N+POSS.3


POST
быһа,быс^V^CONV2
кытта,кытын^V^CONV2
тахса,таҕыс^V^CONV2
тиийэ,тиий^V^CONV2
ыла,ыл^V^CONV2
сырса,сырыс^V^CONV2
сыһа,сыс^V^CONV2
бастыы,бас^N^VRBLZ1^CONV2


сылтаан,сылтаа^V^CONV1
ааһан,аас^V^CONV1
сибээстээн,сибээс^N^VRBLZ1^CONV1

кэлин,кэлин^N
эргин,эргин^N
бүтэй,бүтэй^Adj
атын,атын^Adj
ордук,орт^V^NMLZ5
эбии,эп^V^NMLZ2

быстыҥа
устата,уста^N+POSS.3
тэҥэ,тэҥ^Adj+POSS.3
кэриҥэ,кэриҥ^N+POSS.3
утаата,утаа^N+POSS.3
чааһа,чаас^N+POSS.3
ирээтэ,ирээт^N+POSS.3

иннигэр,илин^N+POSS.3SG+DAT
кэннигэр,кэлин^N+POSS.3SG+DAT
анныгар,алын^N+POSS.3SG+DAT
үрдүгэр,үрүт^N+POSS.3SG+DAT
ортотугар,орто^N+POSS.3SG+DAT
быыһыгар,быыс^N+POSS.3SG+DAT
оннугар,орун^N+POSS.3SG+DAT
туһугар,тус^N+POSS.3SG+DAT
былаһыгар,былас^N+POSS.3SG+DAT
иһигэр,ис^N+POSS.3SG+DAT
устатыгар,уста^N+POSS.3SG+DAT
таһыгар,тас^N+POSS.3SG+DAT
суотугар,суот^N+POSS.3SG+DAT
өттүгэр,өрүт^N+POSS.3SG+DAT
чааһыгар,чаас^N+POSS.3SG+DAT
ахсыгар
былааныгар,былаан^N+POSS.3SG+DAT
баһыгар,бас^N+POSS.3SG+DAT

инниттэн,илин^N+POSS.3SG+ABL
кэнниттэн,кэлин^N+POSS.3SG+ABL
анныттан,алын^N+POSS.3SG+ABL
туһуттан,тус^N+POSS.3SG+ABL
өттүттэн,өрүт^N+POSS.3SG+ABL
саҕаттан,саҕа^N+ABL
баһыттан,бас^N+POSS.3SG+ABL

үрдүнэн,үрүт^N+POSS.3SG+INST
быыһынан,быыс^N+POSS.3SG+INST
туһунан,тус^N+POSS.3SG+INST
быһыытынан,быһыы^N+POSS.3SG+INST
иһинэн,ис^N+POSS.3SG+INST
таһынан,тас^N+POSS.3SG+INST
чааһынан,чаас^N+POSS.3SG+INST
тэҥинэн,тэҥ^Adj+POSS.3SG+INST
өттүнэн,өрүт^N+POSS.3SG+INST
ахсынан
муҥунан,муҥ^N+POSS.3SG+INST


анныттан,алын^N+POSS.3SG+ABL
бүтэй,бүтэй^Adj
былаһыгар,былас^N+POSS.3SG+DAT
быыһыгар,быыс^N+POSS.3SG+DAT
иннигэр,илин^N+POSS.3SG+DAT
инниттэн,илин^N+POSS.3SG+ABL
кэлин,кэлин^N
оннугар,орун^N+POSS.3SG+DAT
туһугар,тус^N+POSS.3SG+DAT
туһунан,тус^N+POSS.3SG+INST
үрдүнэн,үрүт^N+POSS.3SG+INST
эргин,эргин^N